train_loss,train_acc,epoch,step,val_loss,val_acc
3.3156392574310303,0.125,0,0,,
3.0735721588134766,0.375,0,1,,
3.090629816055298,0.1666666716337204,0,2,,
2.115844249725342,0.4444444477558136,0,3,,
3.910139799118042,0.14000000059604645,0,4,,
,,0,4,2.1582205295562744,0.375
3.531808376312256,0.11999999731779099,1,5,,
1.9471105337142944,0.25,1,6,,
2.654470443725586,0.4444444477558136,1,7,,
2.781646490097046,0.375,1,8,,
2.4086575508117676,0.375,1,9,,
,,1,9,2.3847875595092773,0.375
2.411620855331421,0.4444444477558136,2,10,,
2.424351453781128,0.25,2,11,,
2.398031234741211,0.375,2,12,,
1.9605398178100586,0.25,2,13,,
3.232161283493042,0.14000000059604645,2,14,,
,,2,14,1.7196016311645508,0.375
3.0988781452178955,0.14000000059604645,3,15,,
2.2441680431365967,0.4444444477558136,3,16,,
1.992551565170288,0.375,3,17,,
2.1866726875305176,0.375,3,18,,
2.0883073806762695,0.1666666716337204,3,19,,
,,3,19,1.9646121263504028,0.125
1.9688432216644287,0.3333333432674408,4,20,,
2.171074628829956,0.375,4,21,,
2.298975706100464,0.375,4,22,,
2.9336442947387695,0.14000000059604645,4,23,,
1.7482218742370605,0.25,4,24,,
,,4,24,1.9268743991851807,0.375
1.7480298280715942,0.25,5,25,,
2.018294095993042,0.4444444477558136,5,26,,
2.22658109664917,0.375,5,27,,
2.408264636993408,0.375,5,28,,
2.821499824523926,0.14000000059604645,5,29,,
,,5,29,1.7701436281204224,0.375
2.907492160797119,0.14000000059604645,6,30,,
1.838869333267212,0.4444444477558136,6,31,,
2.083695888519287,0.375,6,32,,
1.3416749238967896,0.75,6,33,,
2.110872745513916,0.375,6,34,,
,,6,34,1.7830085754394531,0.375
2.0851571559906006,0.4444444477558136,7,35,,
2.5652618408203125,0.05999999865889549,7,36,,
2.0263118743896484,0.0,7,37,,
1.5099602937698364,0.6666666865348816,7,38,,
1.7836371660232544,0.375,7,39,,
,,7,39,1.6714837551116943,0.375
2.471559762954712,0.14000000059604645,8,40,,
1.5020215511322021,0.375,8,41,,
1.8601722717285156,0.25,8,42,,
1.8674120903015137,0.4444444477558136,8,43,,
1.5581088066101074,0.375,8,44,,
,,8,44,1.5240235328674316,0.375
1.7843096256256104,0.4444444477558136,9,45,,
1.6903047561645508,0.375,9,46,,
1.201391577720642,0.8333333730697632,9,47,,
1.6281541585922241,0.375,9,48,,
2.7858872413635254,0.14000000059604645,9,49,,
,,9,49,1.5870846509933472,0.375
